city,state_id,state_name
New York,NY,New York
Los Angeles,CA,California
Chicago,IL,Illinois
Miami,FL,Florida
Houston,TX,Texas
Dallas,TX,Texas
Philadelphia,PA,Pennsylvania
Atlanta,GA,Georgia
Washington,DC,District of Columbia
Boston,MA,Massachusetts
Phoenix,AZ,Arizona
Detroit,MI,Michigan
Seattle,WA,Washington
San Francisco,CA,California
San Diego,CA,California
Minneapolis,MN,Minnesota
Tampa,FL,Florida
Brooklyn,NY,New York
Denver,CO,Colorado
Queens,NY,New York
Riverside,CA,California
Las Vegas,NV,Nevada
Baltimore,MD,Maryland
St. Louis,MO,Missouri
Portland,OR,Oregon
San Antonio,TX,Texas
Sacramento,CA,California
Austin,TX,Texas
Orlando,FL,Florida
San Juan,PR,Puerto Rico
San Jose,CA,California
Indianapolis,IN,Indiana
Pittsburgh,PA,Pennsylvania
Cincinnati,OH,Ohio
Manhattan,NY,New York
Kansas City,MO,Missouri
Cleveland,OH,Ohio
Columbus,OH,Ohio
Bronx,NY,New York
Charlotte,NC,North Carolina
Virginia Beach,VA,Virginia
Jacksonville,FL,Florida
Milwaukee,WI,Wisconsin
Providence,RI,Rhode Island
Nashville,TN,Tennessee
Salt Lake City,UT,Utah
Raleigh,NC,North Carolina
Richmond,VA,Virginia
Memphis,TN,Tennessee
Oklahoma City,OK,Oklahoma
Hartford,CT,Connecticut
Louisville,KY,Kentucky
Buffalo,NY,New York
Fort Worth,TX,Texas
Bridgeport,CT,Connecticut
New Orleans,LA,Louisiana
Tucson,AZ,Arizona
El Paso,TX,Texas
Omaha,NE,Nebraska
McAllen,TX,Texas
Birmingham,AL,Alabama
Albuquerque,NM,New Mexico
Tulsa,OK,Oklahoma
Charleston,SC,South Carolina
Fresno,CA,California
Rochester,NY,New York
Dayton,OH,Ohio
Cape Coral,FL,Florida
Provo,UT,Utah
Colorado Springs,CO,Colorado
Mission Viejo,CA,California
Allentown,PA,Pennsylvania
Baton Rouge,LA,Louisiana
Ogden,UT,Utah
Knoxville,TN,Tennessee
Grand Rapids,MI,Michigan
Columbia,SC,South Carolina
Albany,NY,New York
Bakersfield,CA,California
New Haven,CT,Connecticut
Des Moines,IA,Iowa
Palm Bay,FL,Florida
Akron,OH,Ohio
Concord,CA,California
Mesa,AZ,Arizona
Wichita,KS,Kansas
Harrisburg,PA,Pennsylvania
Staten Island,NY,New York
Toledo,OH,Ohio
Worcester,MA,Massachusetts
Port St. Lucie,FL,Florida
Little Rock,AR,Arkansas
Madison,WI,Wisconsin
Spokane,WA,Washington
Long Beach,CA,California
Denton,TX,Texas
Reno,NV,Nevada
Boise,ID,Idaho
Bonita Springs,FL,Florida
Kissimmee,FL,Florida
Augusta,GA,Georgia
Springfield,MA,Massachusetts
Oakland,CA,California
Winston-Salem,NC,North Carolina
Stockton,CA,California
Durham,NC,North Carolina
Chattanooga,TN,Tennessee
Greenville,SC,South Carolina
Lancaster,PA,Pennsylvania
Syracuse,NY,New York
Fayetteville,AR,Arkansas
Pensacola,FL,Florida
Arlington,TX,Texas
Aurora,CO,Colorado
Scranton,PA,Pennsylvania
Oxnard,CA,California
Indio,CA,California
Victorville,CA,California
Trenton,NJ,New Jersey
Huntsville,AL,Alabama
Modesto,CA,California
Honolulu,HI,Hawaii
Greensboro,NC,North Carolina
Fort Wayne,IN,Indiana
Anaheim,CA,California
Corpus Christi,TX,Texas
Fort Collins,CO,Colorado
Antioch,CA,California
Jackson,MS,Mississippi
Fayetteville,NC,North Carolina
Myrtle Beach,SC,South Carolina
Henderson,NV,Nevada
Mobile,AL,Alabama
Lexington,KY,Kentucky
Lansing,MI,Michigan
Savannah,GA,Georgia
Youngstown,OH,Ohio
Ann Arbor,MI,Michigan
Santa Ana,CA,California
Irvine,CA,California
St. Paul,MN,Minnesota
Poughkeepsie,NY,New York
Newark,NJ,New Jersey
Santa Rosa,CA,California
Concord,NC,North Carolina
Winter Haven,FL,Florida
Asheville,NC,North Carolina
Canton,OH,Ohio
Lincoln,NE,Nebraska
Flint,MI,Michigan
Lakeland,FL,Florida
Jersey City,NJ,New Jersey
Anchorage,AK,Alaska
Springfield,MO,Missouri
Plano,TX,Texas
Lubbock,TX,Texas
Davenport,IA,Iowa
Reading,PA,Pennsylvania
Shreveport,LA,Louisiana
Chandler,AZ,Arizona
South Bend,IN,Indiana
Wilmington,NC,North Carolina
Chula Vista,CA,California
Rockford,IL,Illinois
Eugene,OR,Oregon
Salem,OR,Oregon
Gilbert,AZ,Arizona
North Las Vegas,NV,Nevada
Santa Clarita,CA,California
Peoria,IL,Illinois
Tallahassee,FL,Florida
Killeen,TX,Texas
St. Petersburg,FL,Florida
Kennewick,WA,Washington
Columbus,GA,Georgia
Laredo,TX,Texas
Irving,TX,Texas
Round Lake Beach,IL,Illinois
Montgomery,AL,Alabama
Chesapeake,VA,Virginia
Glendale,AZ,Arizona
Nashua,NH,New Hampshire
York,PA,Pennsylvania
Garland,TX,Texas
Rock Hill,SC,South Carolina
Scottsdale,AZ,Arizona
Aguadilla,PR,Puerto Rico
Arlington,VA,Virginia
Norfolk,VA,Virginia
Appleton,WI,Wisconsin
Enterprise,NV,Nevada
Gulfport,MS,Mississippi
Lafayette,LA,Louisiana
Bremerton,WA,Washington
Fremont,CA,California
Green Bay,WI,Wisconsin
Fargo,ND,North Dakota
Deltona,FL,Florida
Brownsville,TX,Texas
Hialeah,FL,Florida
San Bernardino,CA,California
Tacoma,WA,Washington
Gainesville,FL,Florida
Spring Valley,NV,Nevada
Clarksville,TN,Tennessee
College Station,TX,Texas
Olympia,WA,Washington
Roanoke,VA,Virginia
Portland,ME,Maine
Fontana,CA,California
Spartanburg,SC,South Carolina
Moreno Valley,CA,California
Frisco,TX,Texas
Yonkers,NY,New York
Thousand Oaks,CA,California
Sioux Falls,SD,South Dakota
Hagerstown,MD,Maryland
Evansville,IN,Indiana
Amarillo,TX,Texas
Kalamazoo,MI,Michigan
Lorain,OH,Ohio
Galveston,TX,Texas
McKinney,TX,Texas
Huntington,WV,West Virginia
Nampa,ID,Idaho
Hickory,NC,North Carolina
Waterbury,CT,Connecticut
Sunrise Manor,NV,Nevada
Grand Prairie,TX,Texas
Ocala,FL,Florida
Waco,TX,Texas
Overland Park,KS,Kansas
Frederick,MD,Maryland
Huntington Beach,CA,California
Santa Barbara,CA,California
Peoria,AZ,Arizona
Cedar Rapids,IA,Iowa
Vancouver,WA,Washington
Glendale,CA,California
Gastonia,NC,North Carolina
Spring Hill,FL,Florida
Murfreesboro,TN,Tennessee
Tempe,AZ,Arizona
Paradise,NV,Nevada
Newport News,VA,Virginia
Erie,PA,Pennsylvania
Fort Lauderdale,FL,Florida
Gainesville,GA,Georgia
